Property_Address,Property_Type,Year_Built,Square_Feet,Source,Status
"3111 SW 4TH ST, DEERFIELD BEACH, FL 33441",Single Family Home,1985,1850,Property_Database,Active
"340 NW 3RD AVE, DEERFIELD BEACH, FL 33442",Single Family Home,1992,2100,Property_Database,Active
"505 NE 6TH AVE, DEERFIELD BEACH, FL 33441",Single Family Home,1978,1650,Property_Database,Active
"1350 SW 8TH AVE, DEERFIELD BEACH, FL 33442",Single Family Home,1989,2300,Property_Database,Active
"1200 NE 5TH ST, DEERFIELD BEACH, FL 33441",Single Family Home,1995,1900,Property_Database,Active
"890 SW 2ND AVE, DEERFIELD BEACH, FL 33442",Single Family Home,1983,1750,Property_Database,Active
"445 NW 7TH ST, DEERFIELD BEACH, FL 33441",Single Family Home,1991,2050,Property_Database,Active
"678 SE 3RD AVE, DEERFIELD BEACH, FL 33442",Single Family Home,1987,1800,Property_Database,Active
"321 NE 9TH ST, DEERFIELD BEACH, FL 33441",Single Family Home,1994,2150,Property_Database,Active
"567 SW 1ST AVE, DEERFIELD BEACH, FL 33442",Single Family Home,1982,1700,Property_Database,Active
"789 NW 4TH AVE, DEERFIELD BEACH, FL 33441",Single Family Home,1988,1950,Property_Database,Active
"234 SE 6TH ST, DEERFIELD BEACH, FL 33442",Single Family Home,1993,2200,Property_Database,Active
"456 NE 2ND AVE, DEERFIELD BEACH, FL 33441",Single Family Home,1986,1600,Property_Database,Active
"890 SW 5TH ST, DEERFIELD BEACH, FL 33442",Single Family Home,1990,2000,Property_Database,Active
"123 NW 8TH AVE, DEERFIELD BEACH, FL 33441",Single Family Home,1984,1750,Property_Database,Active
"345 SE 7TH ST, DEERFIELD BEACH, FL 33442",Single Family Home,1996,2250,Property_Database,Active
